
 Lista de Imóveis da Caixa;;Data de geração:;21/11/2025;;;;;;;
 8444430755334 ;DF ;BRASILIA ;SAMAMBAIA ;QD QR 212, N. SN, Apto 704, LT 01 CJ 03 VG 05 ;315.078,39;275.000,00;0.00;Apartamento, 86.45 de área total, 48.53 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430755334
 1444419213166 ;DF ;BRASILIA ;TAGUATINGA ;QNL 10, N. SN, LT 10 CJ J ;790.182,94;435.015,19;0.00;Casa, 243.36 de área total, 44.00 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419213166
 1444402374072 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNP 36, N. SN, CJ K LT 01 ;322.161,28;536.935,47;40.00;Casa, 356.74 de área total, 31.12 de área privativa, 135.00 de área do terreno, WC.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444402374072
 1444408618330 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNQ 4, N. S/N, CJ 11 LT 08 ;160.316,41;258.000,00;37.87;Casa, 0.00 de área total, 105.15 de área privativa, 126.00 de área do terreno,  2 qto(s), a.serv, WC, WC Emp, 2 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408618330
 1444417048206 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNN 24, N. SN, CJ H LT 43 ;401.508,01;630.000,00;36.27;Casa, 165.00 de área total, 24.01 de área privativa, 144.00 de área do terreno, a.serv, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417048206
 8303508001304 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNP 32, N. SN, CJ Q, LT 36 ;163.636,52;256.759,53;36.27;Casa, 0.00 de área total, 45.77 de área privativa, 135.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8303508001304
 8444408566010 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNQ 6, N. SN, BL 05  LT 01 ;182.909,20;287.000,00;36.27;Casa, 135.52 de área total, 135.52 de área privativa, 142.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408566010
 8444428635149 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNN 23, N. SN, CONJ N LT 23 ;234.313,22;289.000,00;18.93;Casa, 120.64 de área total, 120.64 de área privativa, 250.00 de área do terreno,  3 qto(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428635149
 1444400617326 ;DF ;CEILANDIA ;TAGUATINGA ;QNN 3, N. 10, CONJUNTO P LT 10 ;640.000,00;640.000,00;0.00;Casa, 0.00 de área total, 122.20 de área privativa, 250.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400617326
 1444416367421 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNP 15, N. SN, CJ V LT 27 ;262.000,00;262.000,00;0.00;Casa, 135.00 de área total, 26.32 de área privativa, 135.00 de área do terreno,  2 qto(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416367421
 1444418466303 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNO 13, N. SN, CJ N LT15 ;498.483,50;468.333,36;0.00;Casa, 138.00 de área total, 24.01 de área privativa, 144.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418466303
 1444419213255 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNN 10 CONJ C, N. SN, LT 21 ;714.119,73;621.000,00;0.00;Casa, 267.54 de área total, 168.97 de área privativa, 144.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444419213255
 1444417172365 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNP 11, N. SN, CJ D LT 27 ;342.457,35;270.000,00;0.00;Casa, 0.00 de área total, 33.05 de área privativa, 135.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417172365
 1444404043766 ;DF ;GAMA ;SETOR OESTE ;QUADRA 12, N. SN, LT 50 QD 12 ;274.045,15;430.000,00;36.27;Casa, 150.00 de área total, 150.00 de área privativa, 275.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444404043766
 1444406235026 ;DF ;GAMA ;SETOR CENTRAL ;QUADRA 56 LT 12, N. SN, Apto 509, BL A ;225.410,75;221.000,00;0.00;Apartamento, 58.13 de área total, 44.44 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406235026
 1444408001952 ;DF ;NUCLEO BANDEIRANTE ;NUCLEO BANDEIRANTE ;AVENIDA CENTRAL BLOCO 1645, N. 1645, Apto 302, ;236.137,14;226.000,00;0.00;Apartamento, 71.87 de área total, 57.47 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408001952
 10222643 ;DF ;PLANALTINA ;SETOR TRADICIONAL ;AVENIDA 13 DE MAIO, N. 00, QD 62, LT 17-A ;509.851,44;800.000,00;36.27;Casa, 0.00 de área total, 398.63 de área privativa, 342.04 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10222643
 1444418945465 ;DF ;RECANTO DAS EMAS ;RECANTO DAS EMAS ;LT 29, N. SN, QD 804 ;208.879,75;345.000,00;39.46;Casa, 0.00 de área total, 112.50 de área privativa, 112.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418945465
 1444401390937 ;DF ;RECANTO DAS EMAS ;RECANTO DAS EMAS ;QUADRA 803, N. SN, LT 28 CJ 11 ;104.959,55;169.946,24;38.24;Casa, 85.90 de área total, 85.90 de área privativa, 112.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401390937
 8444410130622 ;DF ;RIACHO FUNDO ;RIACHO FUNDO I ;CLN 7, N. SN, Apto 103, BL H LT 04 ;134.334,00;132.496,35;0.00;Apartamento, 30.29 de área total, 26.25 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410130622
 8444422218767 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QN 312, N. SN, Apto 706, LT 07, CJ 06 ;130.416,50;224.000,00;41.78;Apartamento, 0.00 de área total, 29.45 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422218767
 8787703136821 ;DF ;SAMAMBAIA ;SAMAMBAIA ;CONJ 3 QN 509, N. SN, Apto 307, LT 2 3 4 5 6 7 8 9 10 11 12 ;90.161,30;154.000,00;41.46;Apartamento, 39.21 de área total, 32.00 de área privativa, 0.00 de área do terreno,  1 qto(s).;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703136821
 8555525554788 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QN 303, N. SN, Apto 102, LT01 CJ11 ;144.774,40;236.441,84;38.77;Apartamento, 93.07 de área total, 50.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555525554788
 1444414960311 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QR 429, N. SN, LT 07 CONJ 21 ;226.804,22;365.000,00;37.87;Casa, 0.00 de área total, 168.00 de área privativa, 112.50 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444414960311
 1444418301401 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QR 319, N. SN, QR 319 LT 23 CJ 02 ;162.515,15;255.000,00;36.27;Casa, 0.00 de área total, 119.50 de área privativa, 126.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418301401
 1444418802907 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QR 433, N. SN, LT 13 CJ 02 ;184.821,15;290.000,00;36.27;Casa, 0.00 de área total, 62.63 de área privativa, 112.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418802907
 1555533182926 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QS 421, N. SN, Apto 9, LT 01 E 02 CJ B ;190.556,98;299.000,00;36.27;Apartamento, 0.00 de área total, 63.69 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555533182926
 8787700341254 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QN 303, N. SN, Apto 203, LT 01 CJ 03 VG 14 ;250.000,00;250.000,00;0.00;Apartamento, 86.26 de área total, 50.88 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787700341254
 8787708486391 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QN 509, N. SN, Apto 17, CONJ 3 LT 2 A 12 ;173.000,00;173.000,00;0.00;Apartamento, 41.19 de área total, 34.55 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708486391
 1444414070308 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QN 614, N. SN, Apto 904, BL B LT 1 E 2 CJ B ;302.000,00;302.000,00;0.00;Apartamento, 114.12 de área total, 57.50 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444414070308
 1555526035824 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QN 412, N. SN, Apto 1302, LT A2 E 3A CJ A BL A VAGA 110 ;230.000,00;230.000,00;0.00;Apartamento, 85.01 de área total, 49.56 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555526035824
 8230100001082 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QN 404, N. SN, Apto 207, LT 01 CJ F VAGA 16 ;220.053,66;220.053,66;0.00;Apartamento, 107.54 de área total, 63.28 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8230100001082
 8787709685703 ;DF ;SAMAMBAIA ;SAMAMBAIA NORTE ;QS 425 CONJUNTO E COMÉRCIO, N. SN, Apto 6, LT 1 CJ E QS 425 ;160.000,00;160.000,00;0.00;Apartamento, 46.57 de área total, 36.90 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709685703
 8444404043888 ;DF ;SAMAMBAIA ;SAMAMBAIA ;QD QS 407, N. ., Apto 101, LT 06 ;227.000,00;227.000,00;0.00;Apartamento, 0.00 de área total, 47.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404043888
 1444418666213 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QUADRA QR 503, N. SN, LT 6 CONJUNTO 10 ;293.070,22;285.391,08;0.00;Casa, 108.00 de área total, 108.00 de área privativa, 112.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444418666213
 8555536048528 ;DF ;SAMAMBAIA ;SAMAMBAIA ;QS 519, N. S/N, Apto 704, LT 1A ;267.205,62;231.000,00;0.00;Apartamento, 103.19 de área total, 55.10 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536048528
 1444420728379 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QR 319, N. SN, LOTE 20 CONJUNTO 01 ;377.683,38;300.000,00;0.00;Casa, 116.00 de área total, 116.00 de área privativa, 126.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420728379
 1555530684785 ;DF ;SAMAMBAIA ;SAMAMBAIA SUL ;QS 501, N. SN, Apto 202, LT 1 E 5 CJ 3 VG 48 ;391.672,08;271.734,83;0.00;Apartamento, 96.74 de área total, 58.64 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555530684785
 1444403056660 ;DF ;TAGUATINGA ;TAGUATINGA NORTE ;CNC 3, N. SN, Apto 301, LT 10, TERCEIRA AVENIDA MERCADO ;166.243,43;282.000,00;41.05;Apartamento, 0.00 de área total, 71.60 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444403056660
 8444401071783 ;DF ;TAGUATINGA ;TAGUATINGA ;CSE 5, N. 11, Apto 401, LT11 ;104.620,02;176.545,69;40.75;Apartamento, 47.45 de área total, 44.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401071783
 1555517992005 ;DF ;TAGUATINGA ;SETOR INDUSTRIAL ;QI 24, N. SN, Apto 405, VG 545 TORRE A LT14 A 27 ;211.588,35;332.000,00;36.27;Apartamento, 83.40 de área total, 51.55 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555517992005
 1555522592052 ;DF ;TAGUATINGA ;SETOR INDUSTRIAL ;QUADRA QI 24, N. SN, Apto 1908, TORRE D LT 14 A 27 VG 250 E 251 ;404.439,65;634.600,00;36.27;Apartamento, 0.00 de área total, 103.37 de área privativa, 0.00 de área do terreno, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555522592052
 1444411161353 ;DF ;TAGUATINGA ;TAGUATINGA SUL ;QSE 17, N. SN, LT 18 ST E ;489.982,39;750.000,00;34.67;Casa, 0.00 de área total, 182.00 de área privativa, 300.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444411161353
 1600000087061 ;DF ;TAGUATINGA ;TAGUATINGA SUL ;SETOR DE MANSOES TAGUATINGA, N. SN, UNIDADE 4A LT 04 CONJ 18 ;1.630.766,00;1.605.000,00;0.00;Casa, 578.23 de área total, 578.23 de área privativa, 947.28 de área do terreno,  5 qto(s), varanda, WC, WC Emp, 3 sala(s), 1 lavabo(s), DCE, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1600000087061
 1555520654077 ;DF ;TAGUATINGA ;SETOR INDUSTRIAL ;QI 24, N. SN, Apto 408, BL A LT 14 A 27 VAGA 542 ;354.326,00;313.000,00;0.00;Apartamento, 84.34 de área total, 52.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555520654077
